id,standard_id,workstation_type,workstation_id,persons_required,units_per_hour,is_default,notes,created_at,updated_at
\N,148,"machine",\N,3,161,1,\N,"2026-04-09 20:05:00",\N
\N,149,"manual",\N,3,161,1,\N,"2026-04-09 20:05:00",\N
\N,150,"manual",\N,3,160,1,\N,"2026-04-09 20:05:00",\N
\N,151,"manual",\N,3,161,1,\N,"2026-04-09 20:05:00",\N
\N,152,"manual",\N,3,149,1,\N,"2026-04-09 20:05:00",\N
\N,153,"manual",\N,3,144,1,\N,"2026-04-09 20:05:00",\N
\N,155,"manual",\N,3,144,1,\N,"2026-04-09 20:05:00",\N
\N,157,"manual",\N,3,161,1,\N,"2026-04-09 20:05:00",\N
\N,159,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,160,"manual",\N,2,143,1,\N,"2026-04-09 20:05:00",\N
\N,160,"manual",\N,3,135,0,\N,"2026-04-09 20:05:00",\N
\N,161,"manual",\N,3,134,1,\N,"2026-04-09 20:05:00",\N
\N,162,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,163,"manual",\N,3,134,1,\N,"2026-04-09 20:05:00",\N
\N,164,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,167,"manual",\N,3,135,1,\N,"2026-04-09 20:05:00",\N
\N,168,"manual",\N,3,155,1,\N,"2026-04-09 20:05:00",\N
\N,169,"manual",\N,3,134,1,\N,"2026-04-09 20:05:00",\N
\N,171,"manual",\N,2,139,1,\N,"2026-04-09 20:05:00",\N
\N,171,"manual",\N,3,105,0,\N,"2026-04-09 20:05:00",\N
\N,172,"manual",\N,3,105,1,\N,"2026-04-09 20:05:00",\N
\N,173,"manual",\N,3,105,1,\N,"2026-04-09 20:05:00",\N
\N,174,"semi_automatic",\N,1,300,1,\N,"2026-04-09 20:05:00",\N
\N,174,"semi_automatic",\N,2,204,0,\N,"2026-04-09 20:05:00",\N
\N,175,"manual",\N,1,300,1,\N,"2026-04-09 20:05:00",\N
\N,175,"manual",\N,2,204,0,\N,"2026-04-09 20:05:00",\N
\N,177,"manual",\N,1,195,1,\N,"2026-04-09 20:05:00",\N
\N,179,"machine",\N,1,173,1,\N,"2026-04-09 20:05:00",\N
\N,179,"machine",\N,2,208,0,\N,"2026-04-09 20:05:00",\N
\N,180,"manual",\N,1,173,1,\N,"2026-04-09 20:05:00",\N
\N,180,"manual",\N,2,208,0,\N,"2026-04-09 20:05:00",\N
\N,181,"manual",\N,2,251,1,\N,"2026-04-09 20:05:00",\N
\N,186,"machine",\N,1,194,1,\N,"2026-04-09 20:05:00",\N
\N,186,"machine",\N,2,228,0,\N,"2026-04-09 20:05:00",\N
\N,187,"manual",\N,1,194,1,\N,"2026-04-09 20:05:00",\N
\N,187,"manual",\N,2,228,0,\N,"2026-04-09 20:05:00",\N
\N,190,"semi_automatic",\N,1,229,1,\N,"2026-04-09 20:05:00",\N
\N,190,"semi_automatic",\N,2,219,0,\N,"2026-04-09 20:05:00",\N
\N,191,"manual",\N,1,229,1,\N,"2026-04-09 20:05:00",\N
\N,191,"manual",\N,2,219,0,\N,"2026-04-09 20:05:00",\N
\N,193,"semi_automatic",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,193,"semi_automatic",\N,2,204,0,\N,"2026-04-09 20:05:00",\N
\N,193,"semi_automatic",\N,3,179,0,\N,"2026-04-09 20:05:00",\N
\N,194,"manual",\N,1,375,1,\N,"2026-04-09 20:05:00",\N
\N,194,"manual",\N,2,204,0,\N,"2026-04-09 20:05:00",\N
\N,194,"manual",\N,3,179,0,\N,"2026-04-09 20:05:00",\N
\N,198,"manual",\N,2,150,1,\N,"2026-04-09 20:05:00",\N
\N,200,"manual",\N,2,116,1,\N,"2026-04-09 20:05:00",\N
\N,204,"manual",\N,3,112,1,\N,"2026-04-09 20:05:00",\N
\N,207,"manual",\N,3,121,1,\N,"2026-04-09 20:05:00",\N
\N,216,"manual",\N,3,105,1,\N,"2026-04-09 20:05:00",\N
\N,225,"manual",\N,3,81,1,\N,"2026-04-09 20:05:00",\N
\N,230,"manual",\N,3,129,1,\N,"2026-04-09 20:05:00",\N
\N,233,"manual",\N,2,324,1,\N,"2026-04-09 20:05:00",\N
\N,236,"semi_automatic",\N,2,329,1,\N,"2026-04-09 20:05:00",\N
