id,part_id,sample_price,workstation_type,effective_date,active,comments,created_at,updated_at
,103,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,104,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,105,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,106,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,107,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,108,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,109,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,110,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,111,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,112,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,113,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,114,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,115,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,116,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,117,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,118,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,119,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,120,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,121,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,122,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,123,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,124,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,125,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,126,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,127,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,128,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,129,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,130,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,130,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,131,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,132,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,133,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,134,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,135,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,135,0.5,machine,2026-04-01,1,,"2026-04-09 20:05:00",
,136,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,137,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,138,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,139,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,140,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,141,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,142,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,143,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,144,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,145,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,146,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,147,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,148,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,149,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,150,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,151,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,152,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,153,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,154,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
,155,0.5,table,2026-04-01,1,,"2026-04-09 20:05:00",
