part_id,item_number,part_designator,description,workstation_type,units_per_hour_1p,units_per_hour_2p,units_per_hour_3p,match_type
335,189-10547,L-CL-5-02,"STS L-CL-5-02",,,,112,exact
206,189-10351,L-CL-6-5-01,"STS L-CL-6-5-01",,,,81,exact
188,189-10319,L-CL-8,"STS L-CL-8",,,,121,exact
246,189-10452,TH-C-2-85,"STS TH-C-2-85",,,151,,exact
247,189-10453,TH-C-3-85,"STS TH-C-3-85",,,96,,exact
259,189-10465,TH-CB-206N-85,"STS TH-CB-206N-85",,,,99,exact
253,189-10459,TH-CL-9-85,"STS TH-CL-9-85",,,,84,exact
262,189-10468,TH-CR-436-43,"STS TH-CR-436-43",,,117,,exact
262,189-10468,TH-CR-436-43,"STS TH-CR-436-43",,,76,,exact
262,189-10468,TH-CR-436-43,"STS TH-CR-436-43",,,43,,exact
175,189-10295,L-C-5,"STS L-C-5",,375,204,179,exact
