id,part_id,units_per_hour,work_table_id,semi_auto_work_table_id,machine_id,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
,71,104,,,,,,3,1,0,"STS H-IL-350-A62",,"2026-04-09 20:05:00",
,72,0,,,,,,,1,0,"STS H-IL-350-A63",,"2026-04-09 20:05:00",
,73,0,,,,,,,1,0,"STS H-IL-350-A64",,"2026-04-09 20:05:00",
,74,0,,,,,,,1,0,"STS H-IL-350-A65",,"2026-04-09 20:05:00",
,75,0,,,,,,,1,0,"STS H-MB-301N-BH",,"2026-04-09 20:05:00",
,76,0,,,,,,,1,0,"STS H-IL-350-C60",,"2026-04-09 20:05:00",
,77,0,,,,,,,1,0,"STS H-IL-550-A70",,"2026-04-09 20:05:00",
,78,0,,,,,,,1,0,"STS H-IL-550-A71",,"2026-04-09 20:05:00",
,79,149,,,,1,,,1,0,"STS H-M-1",,"2026-04-09 20:05:00",
,79,149,,,,,2,,1,0,"STS H-M-1",,"2026-04-09 20:05:00",
,80,0,,,,,,,1,0,"STS H-M-1-C2",,"2026-04-09 20:05:00",
,81,217,,,,1,,,1,0,"STS H-M-2",,"2026-04-09 20:05:00",
,81,240,,,,,2,,1,0,"STS H-M-2",,"2026-04-09 20:05:00",
,82,194,,,,1,,,1,0,"STS H-M-3",,"2026-04-09 20:05:00",
,82,228,,,,,2,,1,0,"STS H-M-3",,"2026-04-09 20:05:00",
,83,169,,,,1,,,1,0,"STS H-M-4",,"2026-04-09 20:05:00",
,83,204,,,,,2,,1,0,"STS H-M-4",,"2026-04-09 20:05:00",
,83,174,,,,,,3,1,0,"STS H-M-4",,"2026-04-09 20:05:00",
,84,0,,,,,,,1,0,"STS H-M-4-01-WI",,"2026-04-09 20:05:00",
,85,166,,,,1,,,1,0,"STS H-M-5",,"2026-04-09 20:05:00",
,85,166,,,,,2,,1,0,"STS H-M-5",,"2026-04-09 20:05:00",
,86,129,,,,,,3,1,0,"STS H-MB-101N 10""""",,"2026-04-09 20:05:00",
,87,0,,,,,,,1,0,"STS H-MB-106-N",,"2026-04-09 20:05:00",
,88,0,,,,,,,1,0,"STS H-MB-106-T",,"2026-04-09 20:05:00",
,89,147,,,,,,3,1,0,"STS H-MB-201N 10"""" LEAD",,"2026-04-09 20:05:00",
,90,141,,,,,,3,1,0,"STS H-MB-201T 10"""" LEAD",,"2026-04-09 20:05:00",
,91,143,,,,,,3,1,0,"STS H-MB-206N",,"2026-04-09 20:05:00",
,92,143,,,,,,3,1,0,"STS H-MB-206T",,"2026-04-09 20:05:00",
,93,150,,,,,,3,1,0,"STS H-MB-301N 10"""" LEAD",,"2026-04-09 20:05:00",
,94,149,,,,,,3,1,0,"STS H-MB-301T 10"""" LEAD",,"2026-04-09 20:05:00",
,95,130,,,,,,3,1,0,"STS H-MB-306N",,"2026-04-09 20:05:00",
,96,131,,,,,,3,1,0,"STS H-MB-306T",,"2026-04-09 20:05:00",
,97,112,,,,,,3,1,0,"STS H-MB-401N 10""""",,"2026-04-09 20:05:00",
,98,123,,,,,,3,1,0,"STS H-MB-406N",,"2026-04-09 20:05:00",
,99,0,,,,,,,1,0,"STS H-MB-406T",,"2026-04-09 20:05:00",
,100,118,,,,,,3,1,0,"STS H-MB-501N 10"""" LEAD",,"2026-04-09 20:05:00",
,101,119,,,,,,3,1,0,"STS H-MB-506N",,"2026-04-09 20:05:00",
,102,118,,,,,,3,1,0,"STS H-MB-506T",,"2026-04-09 20:05:00",
,103,114,,,,,,3,1,0,"STS H-ML-1",,"2026-04-09 20:05:00",
,104,115,,,,,,3,1,0,"STS H-ML-10",,"2026-04-09 20:05:00",
,105,114,,,,,,3,1,0,"STS H-ML-10-3",,"2026-04-09 20:05:00",
,106,114,,,,,,3,1,0,"STS H-ML-10-4",,"2026-04-09 20:05:00",
,107,114,,,,,,3,1,0,"STS H-ML-10-6",,"2026-04-09 20:05:00",
,108,119,,,,,,3,1,0,"STS H-ML-10-9",,"2026-04-09 20:05:00",
,109,147,,,,,,3,1,0,"STS H-ML-11",,"2026-04-09 20:05:00",
,110,164,,,,,,3,1,0,"STS H-ML-12",,"2026-04-09 20:05:00",
,111,143,,,,,,3,1,0,"STS H-ML-13",,"2026-04-09 20:05:00",
,112,0,,,,,,,1,0,"STS H-ML-13-01-WI",,"2026-04-09 20:05:00",
,113,155,,,,,1,,1,0,"STS H-ML-14",,"2026-04-09 20:05:00",
,113,146,,,,,,2,1,0,"STS H-ML-14",,"2026-04-09 20:05:00",
,114,104,,,,,,3,1,0,"STS H-ML-15",,"2026-04-09 20:05:00",
,115,138,,,,,,3,1,0,"STS H-ML-16",,"2026-04-09 20:05:00",
,116,177,,,,,,3,1,0,"STS H-ML-17",,"2026-04-09 20:05:00",
,117,128,,,,,,3,1,0,"STS H-ML-18",,"2026-04-09 20:05:00",
,118,134,,,,,,3,1,0,"STS H-ML-19",,"2026-04-09 20:05:00",
,119,155,,,,,,3,1,0,"STS H-ML-2",,"2026-04-09 20:05:00",
,120,138,,,,,,3,1,0,"STS H-ML-20",,"2026-04-09 20:05:00",
,121,0,,,,,,,1,0,"STS H-ML-2-94",,"2026-04-09 20:05:00",
,122,131,,,,,,3,1,0,"STS H-ML-3",,"2026-04-09 20:05:00",
,123,136,,,,,,3,1,0,"STS H-ML-3-0",,"2026-04-09 20:05:00",
,124,0,,,,,,,1,0,"STS H-ML-3-9",,"2026-04-09 20:05:00",
,125,0,,,,,,,1,0,"STS H-ML-3-94",,"2026-04-09 20:05:00",
,126,105,,,,,,3,1,0,"STS H-ML-4",,"2026-04-09 20:05:00",
,127,0,,,,,,,1,0,"STS H-ML-4-94",,"2026-04-09 20:05:00",
,128,101,,,,,,3,1,0,"STS H-ML-5",,"2026-04-09 20:05:00",
,129,139,,,,,,3,1,0,"STS H-ML-6",,"2026-04-09 20:05:00",
,130,132,,,,,,3,1,0,"STS H-ML-7",,"2026-04-09 20:05:00",
,131,0,,,,,,,1,0,"STS H-ML-7-0",,"2026-04-09 20:05:00",
,132,0,,,,,,,1,0,"STS H-ML-7-2",,"2026-04-09 20:05:00",
,133,129,,,,,,3,1,0,"STS H-ML-7-3",,"2026-04-09 20:05:00",
,134,150,,,,,,3,1,0,"STS H-ML-7-4",,"2026-04-09 20:05:00",
,135,161,,,,,,3,1,0,"STS H-ML-7-5",,"2026-04-09 20:05:00",
,136,160,,,,,,3,1,0,"STS H-ML-7-6",,"2026-04-09 20:05:00",
,137,161,,,,,,3,1,0,"STS H-ML-7-9",,"2026-04-09 20:05:00",
,138,149,,,,,,3,1,0,"STS H-ML-7-91",,"2026-04-09 20:05:00",
,139,144,,,,,,3,1,0,"STS H-ML-7-92",,"2026-04-09 20:05:00",
,140,0,,,,,,,1,0,"STS H-ML-7-93",,"2026-04-09 20:05:00",
,141,144,,,,,,3,1,0,"STS H-ML-7-94",,"2026-04-09 20:05:00",
