id,part_id,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description,deleted_at,created_at,updated_at
113,NULL,NULL,NULL,169,NULL,1,NULL,NULL,1,0,STS H-M-4,NULL,"2026-04-09 20:05:00",NULL
114,NULL,NULL,NULL,204,NULL,NULL,2,NULL,1,0,STS H-M-4,NULL,"2026-04-09 20:05:00",NULL
115,NULL,NULL,NULL,174,NULL,NULL,NULL,3,1,0,STS H-M-4,NULL,"2026-04-09 20:05:00",NULL
116,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-M-4-01-WI,NULL,"2026-04-09 20:05:00",NULL
117,NULL,NULL,NULL,166,NULL,1,NULL,NULL,1,0,STS H-M-5,NULL,"2026-04-09 20:05:00",NULL
118,NULL,NULL,NULL,166,NULL,NULL,2,NULL,1,0,STS H-M-5,NULL,"2026-04-09 20:05:00",NULL
119,NULL,NULL,NULL,129,NULL,NULL,NULL,3,1,0,STS H-MB-101N 10"",NULL,"2026-04-09 20:05:00",NULL
120,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-MB-106-N,NULL,"2026-04-09 20:05:00",NULL
121,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-MB-106-T,NULL,"2026-04-09 20:05:00",NULL
122,NULL,NULL,NULL,147,NULL,NULL,NULL,3,1,0,STS H-MB-201N 10"" LEAD,NULL,"2026-04-09 20:05:00",NULL
123,NULL,NULL,NULL,141,NULL,NULL,NULL,3,1,0,STS H-MB-201T 10"" LEAD,NULL,"2026-04-09 20:05:00",NULL
124,NULL,NULL,NULL,143,NULL,NULL,NULL,3,1,0,STS H-MB-206N,NULL,"2026-04-09 20:05:00",NULL
125,NULL,NULL,NULL,143,NULL,NULL,NULL,3,1,0,STS H-MB-206T,NULL,"2026-04-09 20:05:00",NULL
126,NULL,NULL,NULL,150,NULL,NULL,NULL,3,1,0,STS H-MB-301N 10"" LEAD,NULL,"2026-04-09 20:05:00",NULL
127,NULL,NULL,NULL,149,NULL,NULL,NULL,3,1,0,STS H-MB-301T 10"" LEAD,NULL,"2026-04-09 20:05:00",NULL
128,NULL,NULL,NULL,130,NULL,NULL,NULL,3,1,0,STS H-MB-306N,NULL,"2026-04-09 20:05:00",NULL
129,NULL,NULL,NULL,131,NULL,NULL,NULL,3,1,0,STS H-MB-306T,NULL,"2026-04-09 20:05:00",NULL
130,NULL,NULL,NULL,112,NULL,NULL,NULL,3,1,0,STS H-MB-401N 10"",NULL,"2026-04-09 20:05:00",NULL
131,NULL,NULL,NULL,123,NULL,NULL,NULL,3,1,0,STS H-MB-406N,NULL,"2026-04-09 20:05:00",NULL
132,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-MB-406T,NULL,"2026-04-09 20:05:00",NULL
133,NULL,NULL,NULL,118,NULL,NULL,NULL,3,1,0,STS H-MB-501N 10"" LEAD,NULL,"2026-04-09 20:05:00",NULL
134,NULL,NULL,NULL,119,NULL,NULL,NULL,3,1,0,STS H-MB-506N,NULL,"2026-04-09 20:05:00",NULL
135,NULL,NULL,NULL,118,NULL,NULL,NULL,3,1,0,STS H-MB-506T,NULL,"2026-04-09 20:05:00",NULL
136,NULL,NULL,NULL,114,NULL,NULL,NULL,3,1,0,STS H-ML-1,NULL,"2026-04-09 20:05:00",NULL
137,NULL,NULL,NULL,115,NULL,NULL,NULL,3,1,0,STS H-ML-10,NULL,"2026-04-09 20:05:00",NULL
138,NULL,NULL,NULL,114,NULL,NULL,NULL,3,1,0,STS H-ML-10-3,NULL,"2026-04-09 20:05:00",NULL
139,NULL,NULL,NULL,114,NULL,NULL,NULL,3,1,0,STS H-ML-10-4,NULL,"2026-04-09 20:05:00",NULL
140,NULL,NULL,NULL,114,NULL,NULL,NULL,3,1,0,STS H-ML-10-6,NULL,"2026-04-09 20:05:00",NULL
141,NULL,NULL,NULL,119,NULL,NULL,NULL,3,1,0,STS H-ML-10-9,NULL,"2026-04-09 20:05:00",NULL
142,NULL,NULL,NULL,147,NULL,NULL,NULL,3,1,0,STS H-ML-11,NULL,"2026-04-09 20:05:00",NULL
143,NULL,NULL,NULL,164,NULL,NULL,NULL,3,1,0,STS H-ML-12,NULL,"2026-04-09 20:05:00",NULL
144,NULL,NULL,NULL,143,NULL,NULL,NULL,3,1,0,STS H-ML-13,NULL,"2026-04-09 20:05:00",NULL
145,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-13-01-WI,NULL,"2026-04-09 20:05:00",NULL
146,NULL,NULL,NULL,155,NULL,NULL,1,NULL,1,0,STS H-ML-14,NULL,"2026-04-09 20:05:00",NULL
147,NULL,NULL,NULL,146,NULL,NULL,NULL,2,1,0,STS H-ML-14,NULL,"2026-04-09 20:05:00",NULL
148,NULL,NULL,NULL,104,NULL,NULL,NULL,3,1,0,STS H-ML-15,NULL,"2026-04-09 20:05:00",NULL
149,NULL,NULL,NULL,138,NULL,NULL,NULL,3,1,0,STS H-ML-16,NULL,"2026-04-09 20:05:00",NULL
150,NULL,NULL,NULL,177,NULL,NULL,NULL,3,1,0,STS H-ML-17,NULL,"2026-04-09 20:05:00",NULL
151,NULL,NULL,NULL,128,NULL,NULL,NULL,3,1,0,STS H-ML-18,NULL,"2026-04-09 20:05:00",NULL
152,NULL,NULL,NULL,134,NULL,NULL,NULL,3,1,0,STS H-ML-19,NULL,"2026-04-09 20:05:00",NULL
153,NULL,NULL,NULL,155,NULL,NULL,NULL,3,1,0,STS H-ML-2,NULL,"2026-04-09 20:05:00",NULL
154,NULL,NULL,NULL,138,NULL,NULL,NULL,3,1,0,STS H-ML-20,NULL,"2026-04-09 20:05:00",NULL
155,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-2-94,NULL,"2026-04-09 20:05:00",NULL
156,NULL,NULL,NULL,131,NULL,NULL,NULL,3,1,0,STS H-ML-3,NULL,"2026-04-09 20:05:00",NULL
157,NULL,NULL,NULL,136,NULL,NULL,NULL,3,1,0,STS H-ML-3-0,NULL,"2026-04-09 20:05:00",NULL
158,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-3-9,NULL,"2026-04-09 20:05:00",NULL
159,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-3-94,NULL,"2026-04-09 20:05:00",NULL
160,NULL,NULL,NULL,105,NULL,NULL,NULL,3,1,0,STS H-ML-4,NULL,"2026-04-09 20:05:00",NULL
161,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-4-94,NULL,"2026-04-09 20:05:00",NULL
162,NULL,NULL,NULL,101,NULL,NULL,NULL,3,1,0,STS H-ML-5,NULL,"2026-04-09 20:05:00",NULL
163,NULL,NULL,NULL,139,NULL,NULL,NULL,3,1,0,STS H-ML-6,NULL,"2026-04-09 20:05:00",NULL
164,NULL,NULL,NULL,132,NULL,NULL,NULL,3,1,0,STS H-ML-7,NULL,"2026-04-09 20:05:00",NULL
165,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-7-0,NULL,"2026-04-09 20:05:00",NULL
166,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,1,0,STS H-ML-7-2,NULL,"2026-04-09 20:05:00",NULL
167,NULL,NULL,NULL,129,NULL,NULL,NULL,3,1,0,STS H-ML-7-3,NULL,"2026-04-09 20:05:00",NULL
168,NULL,NULL,NULL,150,NULL,NULL,NULL,3,1,0,STS H-ML-7-4,NULL,"2026-04-09 20:05:00",NULL
169,NULL,NULL,NULL,161,NULL,NULL,NULL,3,1,0,STS H-ML-7-5,NULL,"2026-04-09 20:05:00",NULL
170,NULL,NULL,NULL,160,NULL,NULL,NULL,3,1,0,STS H-ML-7-6,NULL,"2026-04-09 20:05:00",NULL
171,NULL,NULL,NULL,161,NULL,NULL,NULL,3,1,0,STS H-ML-7-9,NULL,"2026-04-09 20:05:00",NULL
172,NULL,NULL,NULL,149,NULL,NULL,NULL,3,1,0,STS H-ML-7-91,NULL,"2026-04-09 20:05:00",NULL
173,NULL,NULL,NULL,144,NULL,NULL,NULL,3,1,0,STS H-ML-7-92,NULL,"2026-04-09 20:05:00",NULL
