"","48","0",NULL,NULL,NULL,"","","","1","0","STS H-CL-8-03",NULL,"2026-04-09 20:05:00",NULL
"","49","174",NULL,NULL,NULL,"1","","","1","0","STS H-HC-1",NULL,"2026-04-09 20:05:00",NULL
"","49","174",NULL,NULL,NULL,"","2","","1","0","STS H-HC-1",NULL,"2026-04-09 20:05:00",NULL
"","50","245",NULL,NULL,NULL,"","2","","1","0","STS H-HC-2",NULL,"2026-04-09 20:05:00",NULL
"","50","245",NULL,NULL,NULL,"","2","","1","0","STS H-HC-2",NULL,"2026-04-09 20:05:00",NULL
"","51","228",NULL,NULL,NULL,"","2","","1","0","STS H-HC-3",NULL,"2026-04-09 20:05:00",NULL
"","52","224",NULL,NULL,NULL,"","2","","1","0","STS H-HC-4",NULL,"2026-04-09 20:05:00",NULL
"","53","225",NULL,NULL,NULL,"1","","","1","0","STS H-HC-5",NULL,"2026-04-09 20:05:00",NULL
"","53","166",NULL,NULL,NULL,"","2","","1","0","STS H-HC-5",NULL,"2026-04-09 20:05:00",NULL
"","54","189",NULL,NULL,NULL,"1","","","1","0","STS H-I-1",NULL,"2026-04-09 20:05:00",NULL
"","54","233",NULL,NULL,NULL,"","2","","1","0","STS H-I-1",NULL,"2026-04-09 20:05:00",NULL
"","55","173",NULL,NULL,NULL,"1","","","1","0","STS H-I-2",NULL,"2026-04-09 20:05:00",NULL
"","55","151",NULL,NULL,NULL,"","2","","1","0","STS H-I-2",NULL,"2026-04-09 20:05:00",NULL
"","56","185",NULL,NULL,NULL,"","2","","1","0","STS H-I-3",NULL,"2026-04-09 20:05:00",NULL
"","57","0",NULL,NULL,NULL,"","","","1","0","STS H-I-4",NULL,"2026-04-09 20:05:00",NULL
"","58","0",NULL,NULL,NULL,"","","","1","0","STS H-I-5",NULL,"2026-04-09 20:05:00",NULL
"","59","123",NULL,NULL,NULL,"","","3","1","0","STS H-IB-250-B5B",NULL,"2026-04-09 20:05:00",NULL
"","60","123",NULL,NULL,NULL,"","","3","1","0","STS H-IB-350-B6B",NULL,"2026-04-09 20:05:00",NULL
"","61","0",NULL,NULL,NULL,"","","","1","0","STS H-ID-41",NULL,"2026-04-09 20:05:00",NULL
"","62","102",NULL,NULL,NULL,"","2","","1","0","STS H-ID-43",NULL,"2026-04-09 20:05:00",NULL
"","63","0",NULL,NULL,NULL,"","","","1","0","STS H-ID-47",NULL,"2026-04-09 20:05:00",NULL
"","64","0",NULL,NULL,NULL,"","","","1","0","STS H-ID-48",NULL,"2026-04-09 20:05:00",NULL
"","65","0",NULL,NULL,NULL,"","","","1","0","STS H-IL-250-A50",NULL,"2026-04-09 20:05:00",NULL
"","66","0",NULL,NULL,NULL,"","","","1","0","STS H-IL-250-A53",NULL,"2026-04-09 20:05:00",NULL
"","67","0",NULL,NULL,NULL,"","","","1","0","STS H-IL-250-A54",NULL,"2026-04-09 20:05:00",NULL
"","68","0",NULL,NULL,NULL,"","","","1","0","STS H-IL-250-C50",NULL,"2026-04-09 20:05:00",NULL
"","69","104",NULL,NULL,NULL,"","","3","1","0","STS H-IL-350-A60",NULL,"2026-04-09 20:05:00",NULL
"","70","0",NULL,NULL,NULL,"","","","1","0","STS H-IL-350-A61",NULL,"2026-04-09 20:05:00",NULL
