"id","part_id","units_per_hour","work_table_id","semi_auto_work_table_id","machine_id","persons_1","persons_2","persons_3","active","is_migrated","description","deleted_at","created_at","updated_at"
"","418","155",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-8-93-01","","2026-04-09 20:05:00",""
"","157","139",NULL,NULL,NULL,"","2","3","1","0","Standard mesa manual STS H-ML-9","","2026-04-09 20:05:00",""
"","158","105",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS H-ML-9-5","","2026-04-09 20:05:00",""
"","160","300",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS L-C-1","","2026-04-09 20:05:00",""
"","162","195",NULL,NULL,NULL,"1","","","1","0","Standard mesa manual STS L-C-112-01","","2026-04-09 20:05:00",""
"","165","251",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS L-C-2-1","","2026-04-09 20:05:00",""
"","164","173",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS L-C-2","","2026-04-09 20:05:00",""
"","164","1100",NULL,NULL,NULL,"1","","","1","0","Standard maquina STS L-C-2","","2026-04-09 20:05:00",""
"","170","228",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS L-C-3","","2026-04-09 20:05:00",""
"","170","2300",NULL,NULL,NULL,"1","","","1","0","Standard maquina STS L-C-3","","2026-04-09 20:05:00",""
"","173","229",NULL,NULL,NULL,"1","2","","1","0","Standard mesa manual STS L-C-4","","2026-04-09 20:05:00",""
"","175","375",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS L-C-5","","2026-04-09 20:05:00",""
"","179","150",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS L-C-6","","2026-04-09 20:05:00",""
"","181","116",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS L-C-7","","2026-04-09 20:05:00",""
"","185","112",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS L-CL-4","","2026-04-09 20:05:00",""
"","330","81",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS L-CL-5.5-02","","2026-04-09 20:05:00",""
"","335","112",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS L-CL-5-02","","2026-04-09 20:05:00",""
"","206","81",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS L-CL-6-5-01","","2026-04-09 20:05:00",""
"","188","121",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS L-CL-8","","2026-04-09 20:05:00",""
"","246","151",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS TH-C-2-85","","2026-04-09 20:05:00",""
"","247","96",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS TH-C-3-85","","2026-04-09 20:05:00",""
"","259","99",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS TH-CB-206N-85","","2026-04-09 20:05:00",""
"","253","84",NULL,NULL,NULL,"","","3","1","0","Standard mesa manual STS TH-CL-9-85","","2026-04-09 20:05:00",""
"","262","117",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS TH-CR-436-43","","2026-04-09 20:05:00",""
"","262","76",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS TH-CR-436-43","","2026-04-09 20:05:00",""
"","262","43",NULL,NULL,NULL,"","2","","1","0","Standard mesa manual STS TH-CR-436-43","","2026-04-09 20:05:00",""
"","175","375",NULL,NULL,NULL,"1","2","3","1","0","Standard mesa manual STS L-C-5","","2026-04-09 20:05:00",""
