part_id,Temporal,Temporal 2,work_table_id,semi_auto_work_table_id,machine_id,units_per_hour,persons_1,persons_2,persons_3,active,is_migrated,description
OBLIGATORIO - ID de la parte en tabla parts,Descripcion,Descripcion sin STS,OPCIONAL - ID de mesa manual en tabla tables (dejar vacio si no aplica) - Solo uno de los tres IDs debe estar poblado,OPCIONAL - ID de mesa semi-automatica en tabla semi__automatics (nota: doble guion bajo en nombre de tabla) (dejar vacio si no aplica),OPCIONAL - ID de maquina en tabla machines (dejar vacio si no aplica),OBLIGATORIO - Entero >= 1 - Unidades producidas por hora,OPCIONAL - Numero de personas en configuracion 1 (ej: 1),OPCIONAL - Numero de personas en configuracion 2 (ej: 2) - dejar vacio si no aplica,OPCIONAL - Numero de personas en configuracion 3 (ej: 3) - dejar vacio si no aplica,OPCIONAL - 1=activo 0=inactivo - Default: 1,OPCIONAL - 0=importacion masiva legacy 1=usa standard_configurations - Default: 0 para importacion masiva,OPCIONAL - Descripcion o referencia del standard
189-10181,STS H-M-4-01-WI,H-M-4-01-WI,,,,Pend,,,,1,0,
189-10182,STS H-M-5,H-M-5,,,,166,1,,,1,0,
189-10182,STS H-M-5,H-M-5,,,,166,,2,,1,0,
189-10183,"STS H-MB-101N 10"" ","H-MB-101N 10"" ",,,,129,,,3,1,0,
189-10184,STS H-MB-106-N,H-MB-106-N,,,,Pend,,,,1,0,
189-10185,STS H-MB-106-T,H-MB-106-T,,,,Pend,,,,1,0,
189-10186,"STS H-MB-201N 10"" LEAD","H-MB-201N 10"" LEAD",,,,147,,,3,1,0,
189-10188,"STS H-MB-201T 10"" LEAD","H-MB-201T 10"" LEAD",,,,141,,,3,1,0,
189-10189,STS H-MB-206N,H-MB-206N,,,,143,,,3,1,0,
189-10190,STS H-MB-206T,H-MB-206T,,,,143,,,3,1,0,
189-10191,"STS H-MB-301N 10"" LEAD","H-MB-301N 10"" LEAD",,,,150,,,3,1,0,
189-10194,"STS H-MB-301T 10"" LEAD","H-MB-301T 10"" LEAD",,,,149,,,3,1,0,
189-10196,STS H-MB-306N,H-MB-306N,,,,130,,,3,1,0,
189-10197,STS H-MB-306T,H-MB-306T,,,,131,,,3,1,0,
189-10198,"STS H-MB-401N 10""","H-MB-401N 10""",,,,112,,,3,1,0,
189-10199,STS H-MB-406N,H-MB-406N,,,,123,,,3,1,0,
189-10200,STS H-MB-406T,H-MB-406T,,,,Pend,,,,1,0,
189-10201,"STS H-MB-501N 10"" LEAD","H-MB-501N 10"" LEAD",,,,118,,,3,1,0,
189-10203,STS H-MB-506N,H-MB-506N,,,,119,,,3,1,0,
189-10204,STS H-MB-506T,H-MB-506T,,,,118,,,3,1,0,
189-10206,STS H-ML-1,H-ML-1,,,,114,,,3,1,0,
189-10207,STS H-ML-10,H-ML-10,,,,115,,,3,1,0,
189-10208,STS H-ML-10-3,H-ML-10-3,,,,114,,,3,1,0,
189-10209,STS H-ML-10-4,H-ML-10-4,,,,114,,,3,1,0,
189-10210,STS H-ML-10-6,H-ML-10-6,,,,114,,,3,1,0,
189-10211,STS H-ML-10-9,H-ML-10-9,,,,119,,,3,1,0,
189-10213,STS H-ML-11,H-ML-11,,,,147,,,3,1,0,
189-10216,STS H-ML-12,H-ML-12,,,,164,,,3,1,0,
189-10218,STS H-ML-13  ,H-ML-13  ,,,,143,,,3,1,0,
189-10219,STS H-ML-13-01-WI,H-ML-13-01-WI,,,,Pend,,,,1,0,
189-10222,STS H-ML-14,H-ML-14,,,,155,,1,,1,0,
189-10222,STS H-ML-14,H-ML-14,,,,146,,,2,1,0,
189-10223,STS H-ML-15,H-ML-15,,,,104,,,3,1,0,
189-10224,STS H-ML-16,H-ML-16,,,,138,,,3,1,0,
189-10225,STS H-ML-17,H-ML-17,,,,177,,,3,1,0,
189-10226,STS H-ML-18 ,H-ML-18 ,,,,128,,,3,1,0,
189-10227,STS H-ML-19,H-ML-19,,,,134,,,3,1,0,
189-10228,STS H-ML-2,H-ML-2,,,,155,,,3,1,0,
189-10229,STS H-ML-20,H-ML-20,,,,138,,,3,1,0,
189-10230,STS H-ML-2-94,H-ML-2-94,,,,Pend,,,,1,0,
189-10231,STS H-ML-3     ,H-ML-3     ,,,,131,,,3,1,0,
189-10232,STS H-ML-3-0,H-ML-3-0,,,,136,,,3,1,0,
189-10233,STS H-ML-3-9,H-ML-3-9,,,,Pend,,,,1,0,
189-10234,STS H-ML-3-94,H-ML-3-94,,,,Pend,,,,1,0,
189-10235,STS H-ML-4,H-ML-4,,,,105,,,3,1,0,
189-10236,STS H-ML-4-94,H-ML-4-94,,,,Pend,,,,1,0,
189-10237,STS H-ML-5,H-ML-5,,,,101,,,3,1,0,
189-10238,STS H-ML-6,H-ML-6,,,,139,,,3,1,0,
189-10240,STS H-ML-7 ,H-ML-7 ,,,,132,,,3,1,0,
189-10241,STS H-ML-7-0,H-ML-7-0,,,,Pend,,,,1,0,
189-10242,STS H-ML-7-2,H-ML-7-2,,,,Pend,,,,1,0,
189-10243,STS H-ML-7-3,H-ML-7-3,,,,129,,,3,1,0,
189-10244,STS H-ML-7-4,H-ML-7-4,,,,150,,,3,1,0,
189-10245,STS H-ML-7-5 ,H-ML-7-5 ,,,,161,,,3,1,0,
189-10246,STS H-ML-7-6,H-ML-7-6,,,,160,,,3,1,0,
189-10248,STS H-ML-7-9,H-ML-7-9,,,,161,,,3,1,0,
189-10250,STS H-ML-7-91,H-ML-7-91,,,,149,,,3,1,0,
189-10251,STS H-ML-7-92,H-ML-7-92,,,,144,,,3,1,0,
189-10252,STS H-ML-7-93,H-ML-7-93,,,,Pend,,,,1,0,
189-10253,STS H-ML-7-94,H-ML-7-94,,,,144,,,3,1,0,
189-10254,STS H-ML-7-95,H-ML-7-95,,,,Pend,,,,1,0,
189-10255,STS H-ML-7-97,H-ML-7-97,,,,161,,,3,1,0,
189-10256,STS H-ML-7-98,H-ML-7-98,,,,Pend,,,,1,0,
189-10257,STS H-ML-8 ,H-ML-8 ,,,,135,,,3,1,0,
189-10258,STS H-ML-8-3,H-ML-8-3,,,,143,,2,,1,0,
189-10258,STS H-ML-8-3,H-ML-8-3,,,,135,,,3,1,0,
189-10259,STS H-ML-8-4,H-ML-8-4,,,,134,,,3,1,0,
189-10260,STS H-ML-8-5,H-ML-8-5,,,,135,,,3,1,0,
189-10261,STS H-ML-8-6,H-ML-8-6,,,,134,,,3,1,0,
189-10262,STS H-ML-8-9,H-ML-8-9,,,,135,,,3,1,0,
189-10263,STS H-ML-8-91,H-ML-8-91,,,,Pend,,,,1,0,
189-10264,STS H-ML-8-92,H-ML-8-92,,,,Pend,,,,1,0,
189-10265,STS H-ML-8-93,H-ML-8-93,,,,135,,,3,1,0,
189-10266,STS H-ML-8-94,H-ML-8-94,,,,155,,,3,1,0,
189-10267,STS H-ML-8-95,H-ML-8-95,,,,134,,,3,1,0,
189-10269,STS H-ML-8-98,H-ML-8-98,,,,Pend,,,,1,0,
189-10270,STS H-ML-9,H-ML-9,,,,139,,2,,1,0,
189-10270,STS H-ML-9,H-ML-9,,,,105,,,3,1,0,
189-10271,STS H-ML-9-5,H-ML-9-5,,,,105,,,3,1,0,
189-10273,STS H-ML-9-94,H-ML-9-94,,,,105,,,3,1,0,
189-10274,STS L-C-1,L-C-1,,,,300,1,,,1,0,
189-10274,STS L-C-1,L-C-1,,,,204,,2,,1,0,
189-10276,STS L-C-1-10,L-C-1-10,,,,Pend,,,,1,0,
189-10277,STS L-C-112-01,L-C-112-01,,,,195,1,,,1,0,
189-10281,STS L-C-1-2,L-C-1-2,,,,Pend,,,,1,0,
189-10282,STS L-C-2  ,L-C-2  ,,,,173,1,,,1,0,
189-10282,STS L-C-2  ,L-C-2  ,,,,208,,2,,1,0,
189-10283,STS L-C-2-1,L-C-2-1,,,,251,,2,,1,0,
189-10284,STS L-C-2-10,L-C-2-10,,,,Pend,,,,1,0,
189-10285,STS L-C-2-2,L-C-2-2,,,,Pend,,,,1,0,
189-10286,STS L-C-249-6,L-C-249-6,,,,Pend,,,,1,0,
189-10287,STS L-C-249-8,L-C-249-8,,,,Pend,,,,1,0,
189-10289,STS L-C-3  ,L-C-3  ,,,,194,1,,,1,0,
189-10289,STS L-C-3  ,L-C-3  ,,,,228,,2,,1,0,
189-10290,STS L-C-3-10,L-C-3-10,,,,Pend,,,,1,0,
189-10291,STS L-C-3-2,L-C-3-2,,,,Pend,,,,1,0,
189-10292,STS L-C-4,L-C-4,,,,229,1,,,1,0,
189-10292,STS L-C-4,L-C-4,,,,219,,2,,1,0,
189-10293,STS L-C-4-10,L-C-4-10,,,,Pend,,,,1,0,
189-10295,STS L-C-5,L-C-5,,,,375,1,,,1,0,
189-10295,STS L-C-5,L-C-5,,,,204,,2,,1,0,
189-10295,STS L-C-5,L-C-5,,,,179,,,3,1,0,
189-10296,STS L-C-5.5-10,L-C-5.5-10,,,,Pend,,,,1,0,
189-10297,STS L-C-5.5-2,L-C-5.5-2,,,,Pend,,,,1,0,
189-10298,STS L-C-5-10,L-C-5-10,,,,Pend,,,,1,0,
189-10299,STS L-C-6,L-C-6,,,,150,,2,,1,0,
189-10300,STS L-C-6-10,L-C-6-10,,,,Pend,,,,1,0,
189-10301,STS L-C-7,L-C-7,,,,116,,2,,1,0,
189-10302,STS L-C-7-10,L-C-7-10,,,,Pend,,,,1,0,
189-10310,STS L-CL-2-04,L-CL-2-04,,,,Pend,,,,1,0,
189-10312,STS L-CL-249-8B,L-CL-249-8B,,,,Pend,,,,1,0,
189-10315,STS L-CL-4,L-CL-4,,,,112,,,3,1,0,
189-10316,STS L-CL-5,L-CL-5,,,,Pend,,,,1,0,
189-10318,STS L-CL-7,L-CL-7,,,,Pend,,,,1,0,
189-10319,STS L-CL-8,L-CL-8,,,,121,,,3,1,0,
189-10322,STS L-CL-8-5,L-CL-8-5,,,,Pend,,,,1,0,
189-10323,STS H-CK-04,H-CK-04,,,,Pend,,,,1,0,
189-10324,STS L-CL-181-1224-90/9,L-CL-181-1224-90/9,,,,Pend,,,,1,0,
189-10325,STS H-ML-7-41,H-ML-7-41,,,,Pend,,,,1,0,
189-10326,STS H-ML-7-42,H-ML-7-42,,,,Pend,,,,1,0,
189-10327,STS H-ML-7-43,H-ML-7-43,,,,Pend,,,,1,0,
189-10330,STS H-I-2-04,H-I-2-04,,,,Pend,,,,1,0,
189-10333,STS H-ML-4-5,H-ML-4-5,,,,Pend,,,,1,0,
189-10334,STS H-ML-10-5,H-ML-10-5,,,,105,,,3,1,0,
189-10339,STS L-CL-4-5,L-CL-4-5,,,,Pend,,,,1,0,
189-10340,STS L-CL-10-5,L-CL-10-5,,,,Pend,,,,1,0,
189-10341,STS L-CL-13-5,L-CL-13-5,,,,Pend,,,,1,0,
189-10342,STS L-CL-14-5,L-CL-14-5,,,,Pend,,,,1,0,
189-10343,STS L-CL-15-5,L-CL-15-5,,,,Pend,,,,1,0,
189-10344,STS L-CL-17-5,L-CL-17-5,,,,Pend,,,,1,0,
189-10347,STS H-CK-03-4,H-CK-03-4,,,,Pend,,,,1,0,
189-10350,STS H-HCL-8,H-HCL-8,,,,Pend,,,,1,0,
189-10351,STS L-CL-6-5-01,L-CL-6-5-01,,,,81,,,3,1,0,
189-10358,STS H-MB-106-S,H-MB-106-S,,,,Pend,,,,1,0,
189-10359,STS H-MB-206-S,H-MB-206-S,,,,Pend,,,,1,0,
189-10360,STS H-MB-306-S,H-MB-306-S,,,,Pend,,,,1,0,
189-10368,STS H-CL-181-2226-90/9,H-CL-181-2226-90/9,,,,Pend,,,,1,0,
189-10370,"STS H-MB-101T 10"" LEAD","H-MB-101T 10"" LEAD",,,,129,,,3,1,0,
189-10375,STS L-C-5.5,L-C-5.5,,,,Pend,,,,1,0,
189-10376,STS H-CL-181-1220-90/9,H-CL-181-1220-90/9,,,,Pend,,,,1,0,
189-10379,STS H-C-11,H-C-11,,,,324,,2,,1,0,
189-10383,STS H-C-2-01,H-C-2-01,,,,Pend,,,,1,0,
189-10387,STS H-C-129-05,H-C-129-05,,,,Pend,,,,1,0,
189-10388,STS H-C-22,H-C-22,,,,329,,2,,1,0,
189-10403,STS H-C-05,H-C-05,,,,Pend,,,,1,0,
189-10408,STS H-CB-612T,H-CB-612T,,,,69,,,3,1,0,
189-10410,STS H-IL-8951-12,H-IL-8951-12,,,,Pend,,,,1,0,
189-10412,STS H-ML-5-94,H-ML-5-94,,,,Pend,,,,1,0,
189-10413,STS H-CL-181-1224-90/9-A,H-CL-181-1224-90/9-A,,,,Pend,,,,1,0,
189-10416,STS H-IL-350-C61,H-IL-350-C61,,,,Pend,,,,1,0,
189-10422,STS H-C5-7-A,H-C5-7-A,,,,Pend,,,,1,0,
189-10427,STS H-CL-13-03,H-CL-13-03,,,,Pend,,,,1,0,
189-10428,STS L-CB-713T,L-CB-713T,,,,Pend,,,,1,0,
189-10433,STS L-CB-413T,L-CB-413T,,,,Pend,,,,1,0,
189-10434,STS H-CL-181-1222-90/9 APART,H-CL-181-1222-90/9 APART,,,,Pend,,,,1,0,
189-10435,STS H-IB-550-B7B,H-IB-550-B7B,,,,Pend,,,,1,0,
