"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
"","120","manual",NULL,"3","138","1","","2026-04-09 20:05:00",""
"","121","manual",NULL,"3","131","1","","2026-04-09 20:05:00",""
"","122","machine",NULL,"1","781","1","","2026-04-09 20:05:00",""
"","122","machine",NULL,"2","722","0","","2026-04-09 20:05:00",""
"","123","manual",NULL,"3","136","1","","2026-04-09 20:05:00",""
"","124","manual",NULL,"3","136","1","","2026-04-09 20:05:00",""
"","125","manual",NULL,"3","129","1","","2026-04-09 20:05:00",""
"","126","manual",NULL,"3","101","1","","2026-04-09 20:05:00",""
"","127","manual",NULL,"3","139","1","","2026-04-09 20:05:00",""
"","128","manual",NULL,"1","550","1","","2026-04-09 20:05:00",""
"","128","manual",NULL,"2","300","0","","2026-04-09 20:05:00",""
"","128","manual",NULL,"3","161","0","","2026-04-09 20:05:00",""
"","129","manual",NULL,"1","600","1","","2026-04-09 20:05:00",""
"","129","manual",NULL,"3","161","0","","2026-04-09 20:05:00",""
"","130","manual",NULL,"3","161","1","","2026-04-09 20:05:00",""
"","131","manual",NULL,"3","144","1","","2026-04-09 20:05:00",""
"","132","manual",NULL,"3","144","1","","2026-04-09 20:05:00",""
"","133","manual",NULL,"3","161","1","","2026-04-09 20:05:00",""
"","134","manual",NULL,"1","600","1","","2026-04-09 20:05:00",""
"","134","manual",NULL,"3","135","0","","2026-04-09 20:05:00",""
"","135","manual",NULL,"2","143","1","","2026-04-09 20:05:00",""
"","135","manual",NULL,"3","135","0","","2026-04-09 20:05:00",""
"","136","manual",NULL,"3","135","1","","2026-04-09 20:05:00",""
"","137","manual",NULL,"3","146","1","","2026-04-09 20:05:00",""
"","138","manual",NULL,"3","135","1","","2026-04-09 20:05:00",""
"","139","manual",NULL,"3","155","1","","2026-04-09 20:05:00",""
"","140","manual",NULL,"3","155","1","","2026-04-09 20:05:00",""
"","141","manual",NULL,"3","155","1","","2026-04-09 20:05:00",""
"","142","manual",NULL,"2","139","1","","2026-04-09 20:05:00",""
"","142","manual",NULL,"3","105","0","","2026-04-09 20:05:00",""
"","143","manual",NULL,"3","105","1","","2026-04-09 20:05:00",""
"","144","manual",NULL,"1","300","1","","2026-04-09 20:05:00",""
"","144","manual",NULL,"2","204","0","","2026-04-09 20:05:00",""
"","145","manual",NULL,"1","195","1","","2026-04-09 20:05:00",""
"","146","manual",NULL,"2","251","1","","2026-04-09 20:05:00",""
"","147","manual",NULL,"1","173","1","","2026-04-09 20:05:00",""
"","147","manual",NULL,"2","208","0","","2026-04-09 20:05:00",""
"","147","manual",NULL,"3","164","0","","2026-04-09 20:05:00",""
"","148","machine",NULL,"1","1100","1","","2026-04-09 20:05:00",""
"","149","manual",NULL,"2","228","1","","2026-04-09 20:05:00",""
