"id","standard_id","workstation_type","workstation_id","persons_required","units_per_hour","is_default","notes","created_at","updated_at"
NULL,69,"manual",NULL,3,123,1,NULL,"2026-04-09 20:05:00",NULL
NULL,70,"manual",NULL,2,102,1,NULL,"2026-04-09 20:05:00",NULL
NULL,71,"manual",NULL,1,256,1,NULL,"2026-04-09 20:05:00",NULL
NULL,71,"manual",NULL,2,229,0,NULL,"2026-04-09 20:05:00",NULL
NULL,72,"manual",NULL,1,141,1,NULL,"2026-04-09 20:05:00",NULL
NULL,72,"manual",NULL,2,200,0,NULL,"2026-04-09 20:05:00",NULL
NULL,73,"manual",NULL,1,217,1,NULL,"2026-04-09 20:05:00",NULL
NULL,73,"manual",NULL,2,240,0,NULL,"2026-04-09 20:05:00",NULL
NULL,74,"machine",NULL,1,1100,1,NULL,"2026-04-09 20:05:00",NULL
NULL,75,"manual",NULL,2,161,1,NULL,"2026-04-09 20:05:00",NULL
NULL,76,"manual",NULL,1,194,1,NULL,"2026-04-09 20:05:00",NULL
NULL,76,"manual",NULL,2,228,0,NULL,"2026-04-09 20:05:00",NULL
NULL,77,"machine",NULL,1,2500,1,NULL,"2026-04-09 20:05:00",NULL
NULL,78,"manual",NULL,1,2500,1,NULL,"2026-04-09 20:05:00",NULL
NULL,78,"manual",NULL,2,154,0,NULL,"2026-04-09 20:05:00",NULL
NULL,79,"manual",NULL,1,169,1,NULL,"2026-04-09 20:05:00",NULL
NULL,79,"manual",NULL,2,204,0,NULL,"2026-04-09 20:05:00",NULL
NULL,79,"manual",NULL,3,174,0,NULL,"2026-04-09 20:05:00",NULL
NULL,80,"manual",NULL,2,171,1,NULL,"2026-04-09 20:05:00",NULL
NULL,81,"manual",NULL,1,166,1,NULL,"2026-04-09 20:05:00",NULL
NULL,81,"manual",NULL,2,166,0,NULL,"2026-04-09 20:05:00",NULL
NULL,82,"manual",NULL,2,132,1,NULL,"2026-04-09 20:05:00",NULL
NULL,82,"manual",NULL,3,119,0,NULL,"2026-04-09 20:05:00",NULL
NULL,83,"manual",NULL,3,129,1,NULL,"2026-04-09 20:05:00",NULL
NULL,84,"manual",NULL,3,129,1,NULL,"2026-04-09 20:05:00",NULL
NULL,85,"manual",NULL,3,119,1,NULL,"2026-04-09 20:05:00",NULL
NULL,86,"manual",NULL,3,119,1,NULL,"2026-04-09 20:05:00",NULL
NULL,87,"manual",NULL,3,156,1,NULL,"2026-04-09 20:05:00",NULL
NULL,88,"manual",NULL,3,108,1,NULL,"2026-04-09 20:05:00",NULL
NULL,89,"manual",NULL,3,123,1,NULL,"2026-04-09 20:05:00",NULL
NULL,90,"manual",NULL,3,122,1,NULL,"2026-04-09 20:05:00",NULL
NULL,91,"manual",NULL,3,147,1,NULL,"2026-04-09 20:05:00",NULL
NULL,92,"manual",NULL,3,141,1,NULL,"2026-04-09 20:05:00",NULL
NULL,93,"manual",NULL,3,143,1,NULL,"2026-04-09 20:05:00",NULL
NULL,94,"manual",NULL,3,143,1,NULL,"2026-04-09 20:05:00",NULL
NULL,95,"manual",NULL,1,400,1,NULL,"2026-04-09 20:05:00",NULL
NULL,95,"manual",NULL,3,150,0,NULL,"2026-04-09 20:05:00",NULL
NULL,96,"manual",NULL,3,149,1,NULL,"2026-04-09 20:05:00",NULL
NULL,97,"manual",NULL,3,131,1,NULL,"2026-04-09 20:05:00",NULL
NULL,98,"manual",NULL,3,131,1,NULL,"2026-04-09 20:05:00",NULL
NULL,99,"manual",NULL,3,112,1,NULL,"2026-04-09 20:05:00",NULL
NULL,100,"manual",NULL,3,112,1,NULL,"2026-04-09 20:05:00",NULL
NULL,101,"manual",NULL,3,115,1,NULL,"2026-04-09 20:05:00",NULL
NULL,102,"manual",NULL,3,118,1,NULL,"2026-04-09 20:05:00",NULL
NULL,103,"manual",NULL,3,118,1,NULL,"2026-04-09 20:05:00",NULL
NULL,104,"manual",NULL,3,118,1,NULL,"2026-04-09 20:05:00",NULL
NULL,105,"manual",NULL,3,106,1,NULL,"2026-04-09 20:05:00",NULL
NULL,106,"manual",NULL,3,114,1,NULL,"2026-04-09 20:05:00",NULL
NULL,107,"manual",NULL,3,115,1,NULL,"2026-04-09 20:05:00",NULL
NULL,108,"manual",NULL,3,119,1,NULL,"2026-04-09 20:05:00",NULL
NULL,109,"manual",NULL,3,147,1,NULL,"2026-04-09 20:05:00",NULL
NULL,110,"manual",NULL,3,164,1,NULL,"2026-04-09 20:05:00",NULL
NULL,111,"manual",NULL,1,600,1,NULL,"2026-04-09 20:05:00",NULL
